# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/2/2023 19:49,10.73,12.453,724.7,8.14,471
5/2/2023 20:04,10.79,12.522,724.6,8.15,471
5/2/2023 20:19,10.82,12.573,724.6,8.16,471
5/2/2023 20:34,10.81,12.604,725.7,8.16,472
5/2/2023 20:49,10.78,12.628,726.6,8.16,472
5/2/2023 21:04,10.76,12.639,725.8,8.16,472
5/2/2023 21:19,10.7,12.63,726.3,8.16,472
5/2/2023 21:34,10.61,12.616,726.1,8.16,472
5/2/2023 21:49,10.49,12.599,726.4,8.15,472
5/2/2023 22:04,10.36,12.582,725.7,8.15,472
5/2/2023 22:19,10.25,12.577,726.6,8.14,472
5/2/2023 22:34,10.16,12.583,726.4,8.14,472
5/2/2023 22:49,10.09,12.584,727.1,8.14,473
5/2/2023 23:04,10.03,12.596,727.1,8.13,473
5/2/2023 23:19,9.97,12.6,727.7,8.13,473
5/2/2023 23:34,9.88,12.593,728.5,8.13,474
5/2/2023 23:49,9.78,12.577,729.9,8.12,474
5/3/2023 0:04,9.67,12.561,730.5,8.11,475
5/3/2023 0:19,9.56,12.535,731.2,8.11,475
5/3/2023 0:34,9.46,12.507,730.9,8.1,475
5/3/2023 0:49,9.37,12.472,730,8.09,475
5/3/2023 1:04,9.3,12.436,729.9,8.08,474
5/3/2023 1:19,9.23,12.402,730,8.08,475
5/3/2023 1:34,9.18,12.367,729.9,8.07,474
5/3/2023 1:49,9.14,12.339,730.4,8.07,475
5/3/2023 2:04,9.1,12.317,730.7,8.06,475
5/3/2023 2:19,9.07,12.294,731.3,8.06,475
5/3/2023 2:34,9.04,12.277,731.4,8.06,475
5/3/2023 2:49,9,12.256,732.5,8.05,476
5/3/2023 3:04,8.97,12.234,733.2,8.05,477
5/3/2023 3:19,8.93,12.213,734.4,8.04,477
5/3/2023 3:34,8.9,12.188,734.4,8.04,477
5/3/2023 3:49,8.87,12.156,734.8,8.04,478
5/3/2023 4:04,8.84,12.125,733.9,8.03,477
5/3/2023 4:19,8.82,12.087,734.3,8.03,477
5/3/2023 4:34,8.8,12.051,734.7,8.02,478
5/3/2023 4:49,8.78,12.015,734.2,8.02,477
5/3/2023 5:04,8.77,11.979,735.5,8.02,478
5/3/2023 5:19,8.76,11.94,735.9,8.01,478
5/3/2023 5:34,8.75,11.901,736.4,8.01,479
5/3/2023 5:49,8.75,11.86,737.6,8.01,479
5/3/2023 6:04,8.74,11.819,738.4,8.01,480
5/3/2023 6:19,8.74,11.776,739.4,8,481
5/3/2023 6:34,8.73,11.731,740.6,8,481
5/3/2023 6:49,8.72,11.682,741.8,8,482
5/3/2023 7:04,8.72,11.634,741.2,7.99,482
5/3/2023 7:19,8.72,11.579,740.4,7.99,481
5/3/2023 7:34,8.73,11.526,739.7,7.99,481
5/3/2023 7:49,8.73,11.477,739.9,7.99,481
5/3/2023 8:04,8.74,11.438,740.2,7.99,481
5/3/2023 8:19,8.74,11.399,740.9,7.99,482
5/3/2023 8:34,8.75,11.363,740.8,7.99,481
5/3/2023 8:49,8.75,11.33,742,7.98,482
5/3/2023 9:04,8.75,11.294,742.3,7.98,483
5/3/2023 9:19,8.76,11.257,741.9,7.98,482
5/3/2023 9:34,8.77,11.227,742.3,7.98,482
5/3/2023 9:49,8.77,11.197,742.3,7.98,483
5/3/2023 10:04,8.78,11.168,742.5,7.98,483
5/3/2023 10:19,8.79,11.136,741.9,7.98,482
